1.00000,8.00000,0.69348,2.01142,0.12852,0.72622,0.69348,2.01142,0.12852,0.72622,29.02029,2.83266,0.69368
2.00000,8.00000,0.68690,9.26936,0.85857,0.68367,0.69019,5.64039,0.49354,0.70494,21.72986,2.10416,0.68822
3.00000,8.00000,0.69484,3.99866,0.33052,0.69350,0.69174,5.09315,0.43920,0.70113,22.04488,2.13513,0.69362
4.00000,8.00000,0.69371,1.77766,0.10849,0.69277,0.69224,4.26427,0.35652,0.69904,23.71186,2.30194,0.69249
5.00000,8.00000,0.69217,1.58457,0.08929,0.69163,0.69222,3.72833,0.30308,0.69756,22.04603,2.13550,0.69108
6.00000,8.00000,0.69380,2.19567,0.15157,0.67995,0.69249,3.47289,0.27783,0.69462,27.55296,2.68600,0.69294
7.00000,8.00000,0.69298,2.17948,0.14855,0.69398,0.69256,3.28812,0.25936,0.69453,24.27420,2.35823,0.69193
8.00000,8.00000,0.69448,1.94229,0.12490,0.69333,0.69280,3.11989,0.24255,0.69438,21.67362,2.09800,0.69358
9.00000,8.00000,0.70774,2.14898,0.14558,0.69316,0.69446,3.01201,0.23178,0.69425,18.60926,1.79161,0.69311
10.00000,8.00000,0.69422,2.14938,0.14634,0.68597,0.69443,2.92575,0.22323,0.69342,25.65258,2.49592,0.69334
